528,1
442,1
293,1
556,1
519,1
345,1
534,1
9,0
525,1
555,1
396,1
436,1
513,1
50,1
248,1
31,0
324,1
94,0
235,1
172,0
89,1
558,1
149,1
297,0
249,1
44,0
309,1
479,0
264,0
430,0
125,1
88,1
327,1
502,1
424,1
126,0
447,1
370,0
542,1
355,1
304,1
86,0
471,1
81,1
185,1
384,1
527,1
500,1
535,0
147,1
213,0
153,1
91,0
440,1
16,0
378,1
334,1
168,0
101,1
26,0
67,1
96,1
53,0
204,1
473,1
488,1
412,1
371,1
320,1
445,1
90,1
240,1
538,1
515,1
274,0
381,1
186,0
310,1
19,1
112,1
76,1
61,1
398,1
93,1
366,0
312,1
216,1
411,1
481,1
386,1
116,1
483,1
73,0
554,1
485,1
132,0
456,1
122,0
285,1
134,0
514,0
429,1
154,1
179,1
20,1
99,0
23,0
68,1
241,1
82,0
318,1
108,0
85,0
265,0
390,1
383,1
325,1
270,1
10,0
524,1
87,0
358,1
84,1
452,1
51,1
252,0
449,0
443,1
183,1
155,1
246,1
307,1
135,0
34,0
189,1
133,1
14,0
242,1
322,1
302,0
115,1
303,1
441,0
