183,1
394,1
56,0
434,1
316,1
541,1
146,0
242,1
87,0
298,1
516,0
446,0
413,1
363,1
307,1
140,1
206,1
102,1
406,1
19,1
431,1
254,0
505,1
95,0
552,1
71,1
267,1
374,1
348,1
442,1
305,1
26,0
320,1
522,1
504,1
164,0
487,0
250,0
559,1
471,1
179,1
108,0
210,0
156,0
200,1
36,0
235,1
272,0
445,1
261,0
333,1
359,1
525,1
477,1
72,0
120,1
318,1
73,0
352,0
495,1
478,1
182,0
245,1
279,1
343,0
419,1
205,0
385,0
282,0
493,1
410,1
287,1
403,1
8,0
519,1
168,0
479,0
139,1
564,0
538,1
379,0
141,0
429,1
247,1
160,1
447,1
127,0
54,0
274,0
110,1
90,1
154,1
549,1
5,0
68,1
427,1
266,1
489,0
118,0
238,1
84,1
457,1
421,1
89,1
357,1
398,1
428,1
499,0
52,1
461,0
536,0
7,0
115,1
57,0
480,1
331,1
34,0
126,0
224,1
96,1
45,0
130,1
501,0
105,0
135,0
485,1
491,1
405,1
354,1
165,1
268,1
500,1
356,1
134,0
497,1
521,0
311,1
192,1
11,0
550,1
116,1
567,0
227,1
